,PedalBlob,HeelBlob,AnkleBlob,KneeBlob,KneeBlob2,HipBlob
0,10,83,148,101,80,53
1,67,79,142,76,105,33
2,49,75,136,92,89,29
3,40,88,149,137,44,56
4,26,88,153,109,72,55
5,83,77,140,78,103,27
6,17,82,145,128,53,48
7,54,90,151,126,55,62
8,63,78,143,77,104,34
9,18,77,140,110,71,36
10,70,91,152,134,47,64
11,70,79,143,76,105,32
12,11,83,145,124,57,45
13,15,85,145,109,72,34
14,36,83,145,83,98,41
15,66,95,154,130,51,62
16,88,94,153,139,42,65
17,71,94,153,131,50,62
18,85,95,153,139,42,64
19,45,90,149,141,40,58
20,69,78,139,82,99,26
21,39,91,149,141,40,57
22,29,94,156,106,75,52
23,68.0,76.0,140.0,41.0,123.0,
24,65.0,95.0,154.0,27.0,110.0,
25,87,95,153,154,27,81
26,51,91,154,126,55,62
27,36,79,145,84,97,43
28,20,73,140,109,72,36
29,25,88,153,109,72,56
30,35.0,75.0,140.0,41.0,112.0,
31,48,90,152,122,59,60
32,69.0,79.0,140.0,41.0,125.0,
33,76,92,152,145,36,65
34,53,80,145,79,102,37
35,5,81,142,122,59,44
36,21,88,151,107,74,55
37,54.0,79.0,139.0,42.0,120.0,
38,85,93,152,143,38,66
39,51,80,145,79,102,38
40,3,79,141,118,63,42
41,31,83,151,113,68,58
42,59.0,79.0,140.0,41.0,122.0,
43,85,92,151,144,37,67
44,57,80,145,78,103,36
45,15,82,144,127,54,48
46,14,85,150,104,77,54
47,52.0,79.0,139.0,42.0,119.0,
48,90,92,152,143,38,66
49,61,81,146,77,104,34
50,19,82,144,130,51,50
51,1,84,150,97,84,51
52,27,75,140,104,77,33
53,49,89,151,123,58,61
54,74.0,79.0,141.0,40.0,127.0,
55,70,92,151,144,37,64
56,48,81,147,80,101,38
57,7,81,143,123,58,45
58,22,87,151,108,73,56
59,55.0,79.0,140.0,41.0,120.0,
60,89,92,151,141,40,66
61,86,77,140,75,106,30
62,80,93,153,136,45,64
63,43.0,75.0,140.0,41.0,115.0,
64,5,84,150,100,81,52
65,18,83,144,127,54,48
66,49,81,148,79,102,37
67,59,91,151,141,40,61
68,88.0,80.0,143.0,38.0,134.0,
69,80,92,152,137,44,65
70,62.0,81.0,141.0,40.0,123.0,
71,54,91,153,124,57,62
72,38.0,75.0,141.0,40.0,113.0,
73,15,80,152,104,77,54
74,12,74,142,111,70,37
75,2,83,150,96,85,50
76,4,80,142,117,64,41
77,13.0,8.0,92.0,89.0,48.0,
78,9,81,142,123,58,45
79,21,77,149,89,92,45
80,15,83,145,126,55,47
81,25,82,149,87,94,44
82,11,82,144,124,57,46
83,15,83,149,91,90,47
84,6,82,144,121,60,44
85,12,84,149,93,88,48
86,3,81,144,120,61,43
87,9,84,149,94,87,49
88,8,79,142,115,66,39
89,1,83,149,98,83,51
90,8,79,142,114,67,39
91,7,82,150,101,80,53
92,27.0,1.0,180.0,110.0,,
93,31,84,150,113,68,58
94,45.0,75.0,141.0,40.0,116.0,
95,52,89,152,124,57,61
96,56,80,141,86,95,25
97,57,90,152,127,54,63
98,50.0,80.0,140.0,41.0,118.0,
99,44,89,151,120,61,60
100,47.0,75.0,141.0,40.0,116.0,
101,40,88,150,119,62,60
102,39.0,1.0,180.0,113.0,,
103,33,83,150,115,66,59
104,40.0,2.0,179.0,114.0,,
105,35,83,150,116,65,59
106,47.0,74.0,140.0,41.0,117.0,
107,71,90,151,134,47,65
108,57,81,146,78,103,36
